caseid,person_id,arrest_date,dispos_date,treat
4,3715,2012-03-26,2012-04-10,1
5,12086,2013-03-28,2013-06-17,0
10,6849,2012-01-15,2012-07-10,1
12,7403,2012-09-28,2012-11-05,0
19,7821,2013-09-28,2013-10-18,1
20,14458,2012-08-24,2012-12-09,1
23,13273,2013-08-20,2014-04-16,1
25,16497,2012-04-26,2013-01-03,1
26,15901,2012-10-30,2013-01-16,0
30,18761,2012-07-08,2012-09-09,1
36,16286,2013-07-20,2013-12-29,1
37,17290,2012-01-30,2012-07-25,1
39,2101,2013-02-04,2013-04-02,0
40,15175,2013-10-22,2014-01-20,1
45,8015,2012-10-23,2012-12-15,0
48,1178,2012-07-15,2012-10-06,0
51,1697,2013-06-04,2013-07-28,0
52,19486,2012-01-10,2012-01-18,1
53,17554,2012-11-16,2013-07-16,1
56,5850,2013-03-27,2013-07-20,1
61,10610,2013-08-16,2014-01-08,1
64,7006,2013-06-05,2015-01-19,0
68,18285,2012-07-27,2013-02-21,0
73,5328,2012-02-22,2012-03-13,1
77,7057,2013-06-29,2014-08-26,1
87,6783,2013-06-27,2014-06-02,1
96,17191,2012-01-28,2012-11-20,0
101,8164,2013-09-24,2014-01-07,1
110,949,2012-04-07,2012-06-06,1
112,781,2013-08-17,2013-09-20,0
113,5451,2013-03-07,2013-08-10,1
115,4531,2012-03-15,2012-05-24,0
119,11194,2012-09-19,2013-03-12,0
127,2439,2012-11-05,2013-03-27,1
129,18432,2013-07-10,2015-04-04,1
138,5132,2012-10-31,2012-12-01,1
145,16633,2012-03-27,2013-05-21,1
153,11928,2013-08-12,2013-12-02,0
159,3356,2013-08-23,2014-07-03,1
160,13704,2012-07-12,2012-08-04,1
164,10816,2012-07-10,2012-11-05,1
168,19991,2012-06-17,2012-09-30,1
174,12065,2012-04-05,2013-02-02,1
182,5589,2012-03-25,2012-04-10,1
184,7372,2012-05-11,2012-09-24,0
191,16769,2012-05-17,2012-06-28,1
192,2863,2012-04-24,2012-11-02,0
194,12249,2013-07-28,2013-11-16,1
204,494,2012-07-18,2012-07-31,1
209,18364,2012-12-07,2014-03-07,0
222,9479,2012-03-10,2013-05-07,1
223,11608,2013-09-03,2013-11-15,1
236,5776,2013-09-27,2014-09-02,0
237,18380,2013-05-01,2014-02-14,1
240,5004,2013-02-08,2013-07-28,1
243,8367,2013-09-01,2013-09-17,1
245,15490,2012-01-13,2013-04-22,1
248,14151,2012-07-09,2012-12-03,1
261,14077,2013-02-01,2013-04-22,1
263,15682,2013-06-30,2015-01-30,1
269,1124,2012-10-05,2013-03-03,0
279,4286,2012-03-30,2012-08-03,1
288,1579,2013-01-30,2013-11-18,0
306,12957,2013-06-11,2014-01-04,0
310,6374,2013-08-28,2013-11-21,1
316,2723,2013-10-01,2013-11-04,0
317,2031,2012-10-31,2013-10-01,0
322,6201,2013-08-27,2013-11-14,0
328,1428,2013-03-27,2013-05-08,1
330,4013,2012-10-07,2013-07-27,1
335,11374,2013-03-10,2015-06-25,1
336,9088,2013-04-29,2013-07-06,0
337,8852,2013-06-29,2013-10-16,1
338,3823,2013-09-10,2014-02-07,0
340,14234,2012-02-01,2013-03-11,1
342,9806,2012-12-12,2013-09-30,1
353,7652,2012-04-13,2012-12-23,1
355,11315,2012-02-24,2012-08-07,1
362,653,2013-07-16,2013-08-18,0
363,6876,2013-02-16,2014-03-24,1
364,8041,2013-06-20,2014-01-07,1
369,6677,2012-12-12,2013-02-08,1
370,15123,2013-09-11,2013-09-27,1
376,676,2012-02-24,2012-05-01,1
380,3116,2013-07-31,2014-01-15,1
387,9047,2013-04-23,2013-06-22,1
390,12012,2013-06-06,2014-05-22,1
391,10601,2012-09-04,2012-10-25,1
392,12722,2013-03-20,2013-04-08,1
394,6997,2012-12-13,2014-02-20,0
401,11514,2012-09-22,2012-10-10,1
404,932,2013-09-20,2013-10-15,1
412,5782,2012-02-21,2012-04-14,0
413,19476,2012-05-06,2012-10-20,1
